"","upNm","pgmNm","targetNm","price"
"165","마포청소년수련관","아쿠아로빅F(화목21시)[신규]","성인","47300"
"166","마포청소년수련관","아쿠아로빅F(화목21시)[신규]","청소년","37000"
"167","마포청소년수련관","아쿠아로빅G(화목13시)[신규]","성인","47300"
"168","마포청소년수련관","오전D-고급2(월수금11시)XXX","성인","50400"
"169","잠실청소년센터","현대무용A","청소년","105000"
"170","금천청소년수련관","아침B-청소년","강습2+자유4(구)","56000"
"171","창동청소년센터","베이킹클래스(버터링쿠키)12/07(성인)","성인","20000"
"172","동대문청소년수련관","단기속성7","초등생","90000"
"173","시립서대문청소년센터","방학) 내 손안의 작은 피아노 칼림바(B)","초등학생","35000"
"174","동대문청소년수련관","아침수영A-중급(월수금)","청소년","49500"
"175","동대문청소년수련관","아침수영B-중급(화목)","중.고등학생","32000"
"176","창동청소년센터","달콤한디저트A(중1~성인)-다쿠아즈&에그타르트, 2/26일","구분없음","50000"
"177","창동청소년센터","베이킹클래스(버터링쿠키)12/08(성인)","성인","20000"
"178","창동청소년센터","베이킹클래스(치즈머핀)12/22(성인)","성인","20000"
"179","마포청소년수련관","유아B-초급1(화목15시)","6세-초1","37000"
"180","마포청소년수련관","유아B-초급2(화목15시)","6세-초1","37000"
"181","동대문청소년센터","저녁 야구교실(수요일-초급반)","성인","77000"
"182","동대문청소년수련관","미술치료","구분없음","35000"
"183","동대문청소년수련관","아침수영B-초급","청소년","70200"
"184","광진청소년센터","라인댄스(입문)C","3개월","66000"
"185","광진청소년센터","라인댄스(초급&중급)B","3개월","66000"
"186","광진청소년센터","라인댄스(초급&중급)D","3개월","66000"
"187","창동청소년센터","엔니오모리꼬네(Ennio Morricone)의영화음악감상과연주A(청소년~성인)-2/15시작","구분없음","50000"
"188","동대문청소년수련관","아침수영B-초급","중.고등학생","57000"
"189","동대문청소년수련관","아침수영C-상급(월수금)","성인","55000"
"190","동대문청소년수련관","오전수영A-중급","중.고등학생","43000"
"191","동대문청소년수련관","오전수영E-기초","중.고등학생","43000"
"192","광진청소년센터","01/19(수) 별빛산책","재료비","2000"
"193","광진청소년센터","01/29(토) 주간 별빛산책","재료비","2000"
"194","광진청소년센터","1월 도심 속 별빛산책 교재","교재","2000"
"195","금천청소년수련관","상어","만6세~초등","36000"
"196","잠실청소년센터","<겨울방특>미래엔 AI코딩A","초등 저","60000"
"197","마포청소년수련관","방특_나는 배우다! # 소심해도 괜찮은 연극교실 (월14시)","초1-초6","35000"
"198","마포청소년수련관","방특_창의영재 멘사보드게임 (금14시)","초1-초6","30000"
"199","은평청소년수련관","(방특)아동요리(초등)-목12시[1.2-1.23]","초등생","22000"
"200","시립서대문청소년센터","죠스2-2(중급3개월) ","초등학생","89100"
